Private: False
Epoch 1 | Batch 4 | Batch Loss 0.512494170665741 | Average Loss 6.2559493393511385 | 464.94092168034734 ms/batch
Epoch 1 | Batch 5 | Batch Loss 0.49475589394569397 | Average Loss 5.779817649648209 | 465.948796469318 ms/batch
Epoch 2 | Batch 0 | Batch Loss 0.4748987227678299 | Average Loss 5.374862006374898 | 466.3351710516078 ms/batch
Epoch 2 | Batch 1 | Batch Loss 0.4590094357728958 | Average Loss 5.026219980091068 | 466.94784637884044 ms/batch
Epoch 2 | Batch 2 | Batch Loss 0.4465340465307236 | Average Loss 4.722929520914886 | 467.7431314986273 ms/batch
Epoch 2 | Batch 3 | Batch Loss 0.4358779013156891 | Average Loss 4.456653022803135 | 467.7301267659442 ms/batch
Epoch 2 | Batch 4 | Batch Loss 0.41808361411094663 | Average Loss 4.2204793731720125 | 467.62838837696097 ms/batch
Epoch 2 | Batch 5 | Batch Loss 0.40458179712295533 | Average Loss 4.009656302672065 | 467.68152252745233 ms/batch
Epoch 3 | Batch 0 | Batch Loss 0.3989431709051132 | Average Loss 3.8206137303282452 | 468.4638540158097 ms/batch
Epoch 3 | Batch 1 | Batch Loss 0.392171174287796 | Average Loss 3.650044448933198 | 468.4263853291374 ms/batch
Epoch 3 | Batch 2 | Batch Loss 0.37995168566703796 | Average Loss 3.4950637492523375 | 467.8642919278258 ms/batch
Epoch 3 | Batch 3 | Batch Loss 0.3717177718877792 | Average Loss 3.3537358769733983 | 468.2014236622806 ms/batch
Epoch 3 | Batch 4 | Batch Loss 0.3641702264547348 | Average Loss 3.2243174505440186 | 467.8294256136015 ms/batch
Epoch 3 | Batch 5 | Batch Loss 0.35511119961738585 | Average Loss 3.105263249260756 | 467.3268320154847 ms/batch
Epoch 4 | Batch 0 | Batch Loss 0.350103422999382 | Average Loss 2.9954959255053226 | 467.44553976324926 ms/batch
Epoch 4 | Batch 1 | Batch Loss 0.34486337900161745 | Average Loss 2.893939122957288 | 467.6488779513772 ms/batch
Epoch 4 | Batch 2 | Batch Loss 0.33977135717868806 | Average Loss 2.7996893899027273 | 467.63739638662867 ms/batch
Epoch 4 | Batch 3 | Batch Loss 0.33624453842639923 | Average Loss 2.7120223133377332 | 468.1082637284574 ms/batch
Epoch 4 | Batch 4 | Batch Loss 0.3311019688844681 | Average Loss 2.6302037447998203 | 468.01067217928437 ms/batch
Epoch 4 | Batch 5 | Batch Loss 0.32848426699638367 | Average Loss 2.5537346591585104 | 468.1637889127003 ms/batch
Epoch 5 | Batch 0 | Batch Loss 0.3206701397895813 | Average Loss 2.4819319414939143 | 468.35727476997005 ms/batch
Epoch 5 | Batch 1 | Batch Loss 0.3203325033187866 | Average Loss 2.4145923951333184 | 468.3168372632558 ms/batch
Epoch 5 | Batch 2 | Batch Loss 0.3186129182577133 | Average Loss 2.351269752327409 | 468.61667287313685 ms/batch
Epoch 5 | Batch 3 | Batch Loss 0.30955318212509153 | Average Loss 2.2913953661044673 | 468.82590380581945 ms/batch
Epoch 5 | Batch 4 | Batch Loss 0.3067762225866318 | Average Loss 2.2348535101637883 | 468.80033145263326 ms/batch
Epoch 5 | Batch 5 | Batch Loss 0.30709015130996703 | Average Loss 2.1814528631041257 | 468.9628820340059 ms/batch
Epoch 6 | Batch 0 | Batch Loss 0.3034460335969925 | Average Loss 2.130832732928731 | 469.36118827675875 ms/batch
Epoch 6 | Batch 1 | Batch Loss 0.30225402414798735 | Average Loss 2.0828385410972157 | 469.6224749557615 ms/batch
